It  VecImage        AuxRe2        AuxRe3
0  32668.9607842947   32668.9607842947   70200.0721796
1  32668.9607842947   11422.0908747056   37390.0781952639
2  32668.9607842947   10597.0719787459   45680.3944663219
3  32668.9607842947   8662.90190360749   39647.7255149308
4  32668.9607842947   9150.48400875789   44756.1350007528
5  32668.9607842947   8699.3799101323   42776.1196471963
6  32668.9607842947   8844.60217280003   43803.558607816
7  32668.9607842947   8874.84208285367   43809.5887733604
