It  VecImage        AuxRe2        AuxRe3
0  2826.97844827586   2826.97844827586   4437.10804159098
1  2826.97844827586   1872.99189772414   2745.26588331055
2  2826.97844827586   1930.69370155172   2835.73906605467
3  2826.97844827586   1954.66869575862   2871.95759537855
4  2826.97844827586   1967.10822868966   2889.46499467828
5  2826.97844827586   1975.1193822069   2899.46546245148
6  2826.97844827586   1980.95789703448   2903.6653715331
7  2826.97844827586   1986.27762906897   2905.99228561788
8  2826.97844827586   1991.47904589655   2908.1341664754
9  2826.97844827586   1996.63109527586   2909.86372589736
10  2826.97844827586   2001.49170944828   2910.84466706795
11  2826.97844827586   2006.42940965517   2911.70218655359
12  2826.97844827586   2011.37329010345   2912.516029969
13  2826.97844827586   2016.34832489655   2912.93748989681
14  2826.97844827586   2021.54752824138   2913.12796640243
15  2826.97844827586   2026.86978751724   2913.18962872464
16  2826.97844827586   2032.32156493103   2913.12683999773
17  2826.97844827586   2037.88755541379   2912.85193785609
18  2826.97844827586   2043.70193548276   2912.70859147234
19  2826.97844827586   2049.62424037931   2912.40072819112
20  2826.97844827586   2055.67875331035   2912.07673639579
21  2826.97844827586   2061.84303   2911.6002168987
22  2826.97844827586   2068.10931355172   2910.8975908588
23  2826.97844827586   2074.54780255173   2910.25798353566
24  2826.97844827586   2081.05940310345   2909.71226888412
25  2826.97844827586   2087.73674641379   2909.12956450947
26  2826.97844827586   2094.55985231035   2908.56384020068
27  2826.97844827586   2101.48948558621   2908.04353851136
28  2826.97844827586   2108.42358813793   2907.41600876201
29  2826.97844827586   2115.43399441379   2906.93810765518
30  2826.97844827586   2122.48355734483   2906.41619257032
31  2826.97844827586   2129.58279617241   2905.84842789615
32  2826.97844827586   2136.72640413793   2905.20583187333
33  2826.97844827586   2143.93385213793   2904.75442249641
34  2826.97844827586   2151.13306272414   2904.4517247779
35  2826.97844827586   2158.29418251724   2904.04596047093
36  2826.97844827586   2165.49685117241   2903.61216100625
37  2826.97844827586   2172.7213457931   2903.07607622526
38  2826.97844827586   2179.98134834483   2902.5121656077
39  2826.97844827586   2187.28587137931   2901.87419518336
40  2826.97844827586   2194.64112875862   2901.24565762443
41  2826.97844827586   2202.03255386207   2900.57907311699
42  2826.97844827586   2209.4604412069   2899.88919560163
43  2826.97844827586   2216.94734331035   2899.12938877842
44  2826.97844827586   2224.48803375862   2898.40382058624
45  2826.97844827586   2232.0394772069   2897.59101235285
46  2826.97844827586   2239.63741696552   2896.77501105529
47  2826.97844827586   2247.28222855172   2895.95547917029
48  2826.97844827586   2254.9642717931   2895.10245630602
49  2826.97844827586   2262.68924468966   2894.30702739748
50  2826.97844827586   2270.44890355172   2893.4785384739
51  2826.97844827586   2278.23404358621   2892.63307638577
52  2826.97844827586   2286.06502713793   2891.83026355998
53  2826.97844827586   2293.93556748276   2891.03575204307
54  2826.97844827586   2301.82989062069   2890.2209294732
55  2826.97844827586   2309.7788812069   2889.40242995316
56  2826.97844827586   2317.746083   2888.54394977938
57  2826.97844827586   2325.77856741379   2887.74934432558
58  2826.97844827586   2333.81478162069   2886.91369851624
59  2826.97844827586   2341.90416006896   2886.14725544795
60  2826.97844827586   2349.96840196552   2885.3218663891
61  2826.97844827586   2358.07069448276   2884.54710916543
62  2826.97844827586   2366.17923113793   2883.74375528157
63  2826.97844827586   2374.31582975862   2882.92493804568
64  2826.97844827586   2382.4636647931   2882.03428358365
65  2826.97844827586   2390.70974537931   2882.7732209195
66  2826.97844827586   2398.62457010345   2882.98325992291
67  2826.97844827586   2406.44245444827   2883.06632988019
68  2826.97844827586   2414.21724355172   2883.07421971073
69  2826.97844827586   2421.93388903448   2882.94886358487
70  2826.97844827586   2429.64069051724   2882.84161135606
71  2826.97844827586   2437.30098472414   2882.61279282407
72  2826.97844827586   2444.99017634483   2882.4074137405
73  2826.97844827586   2452.64318062069   2882.09673566761
74  2826.97844827586   2460.31146068965   2881.83186150148
75  2826.97844827586   2467.96085765517   2881.46834840438
76  2826.97844827586   2475.63336782759   2881.16441447888
77  2826.97844827586   2483.27635858621   2880.77092806815
78  2826.97844827586   2490.96642165517   2880.42687663791
79  2826.97844827586   2498.61210268965   2879.95397504527
80  2826.97844827586   2506.32445982759   2879.59904154203
81  2826.97844827586   2513.97847772414   2879.09241808754
82  2826.97844827586   2521.71013134483   2878.71775001879
83  2826.97844827586   2529.39674331034   2878.20281027504
84  2826.97844827586   2537.16301903448   2877.84409117067
85  2826.97844827586   2544.86690127586   2877.32121013891
86  2826.97844827586   2552.68615837931   2877.05835992065
87  2826.97844827586   2560.37305917241   2876.44427184934
88  2826.97844827586   2568.22882634483   2876.16675474663
89  2826.97844827586   2575.94657117241   2875.6298835933
90  2826.97844827586   2583.77791234483   2875.28024606433
91  2826.97844827586   2591.521015   2874.71368786977
92  2826.97844827586   2599.40489055172   2874.3925463541
93  2826.97844827586   2607.15644227586   2873.75544871456
94  2826.97844827586   2615.06994627586   2873.45022818034
95  2826.97844827586   2622.84446241379   2872.78789577486
96  2826.97844827586   2630.79274510345   2872.46927431462
97  2826.97844827586   2638.60092186207   2871.86930609874
98  2826.97844827586   2646.56911127586   2871.56313838888
99  2826.97844827586   2654.38300031034   2870.90295491906
100  2826.97844827586   2662.40836313793   2870.65767717242
101  2826.97844827586   2670.24739727586   2870.02920190381
102  2826.97844827586   2678.25716393103   2869.69580612662
103  2826.97844827586   2686.14909262069   2869.11302278761
104  2826.97844827586   2694.17418810345   2868.74953469161
105  2826.97844827586   2702.09258382759   2868.15055660641
106  2826.97844827586   2710.17879613793   2867.85899955143
107  2826.97844827586   2718.08286844828   2867.15243303281
108  2826.97844827586   2726.23101775862   2866.96343889846
109  2826.97844827586   2734.15604668965   2866.31692734662
110  2826.97844827586   2742.29376993103   2866.04919383712
111  2826.97844827586   2750.23900227586   2865.3962520701
112  2826.97844827586   2758.39677765517   2865.1325978981
113  2826.97844827586   2766.35491313793   2864.40127420219
114  2826.97844827586   2774.55916710345   2864.19271006258
115  2826.97844827586   2782.53460241379   2863.4654897328
116  2826.97844827586   2790.753353   2863.22343953581
117  2826.97844827586   2798.75512155172   2862.47880708544
118  2826.97844827586   2807.01304882759   2862.25146775962
119  2826.97844827586   2815.04857003448   2861.55757303251
120  2826.97844827586   2823.322103   2861.33806307697
