It  VecImage        AuxRe2        AuxRe3
0  32668.9607843137   32668.9607843137   70200.0721796002
1  32668.9607843137   11422.0908747056   37390.0781952637
2  32668.9607843137   10597.0719787459   45680.3944663219
3  32668.9607843137   8662.90190360748   39647.7255149308
4  32668.9607843137   9150.48400875789   44756.1350007528
5  32668.9607843137   8699.37991013228   42776.1196471963
6  32668.9607843137   8844.60217280002   43803.5586078158
7  32668.9607843137   8874.84208285367   43809.5887733603
